type	latitude	longitude	altitude (m)	name	desc
T	46.710153162	7.983467517	1047.4		
T	46.710663636	7.982974068	1001.5		
T	46.711885614	7.982476668	915.1		
T	46.712780514	7.981747280	842.7		
T	46.713541871	7.981314107	814.1		
T	46.713927724	7.981185722	801.0		
T	46.714558411	7.981179281	790.0		
T	46.715846140	7.980197247	673.4		
T	46.716853291	7.979627696	582.4		
T	46.717923168	7.978981398	564.0		
T	46.718798481	7.979096235	564.0		
T	46.719818439	7.979054668	564.0		
T	46.720741594	7.978767019	564.0		
T	46.721663233	7.978479838	564.0		
T	46.722437178	7.978344816	564.0		
T	46.722970043	7.978121402	564.0		
T	46.723795376	7.977587760	564.0		
T	46.724419751	7.977609704	564.0		
T	46.725097089	7.977236657	564.0		
